Species;Otdel;N;B;Date;Horizon;Station
Chaetoceros decipiens;Bacil;86.00;0.73;2012-12-14;0;Садок
Chaetoceros didymus;Bacil;286.00;0.49;2012-12-14;0;Садок
Diploneis smithii;Bacil;43.00;0.18;2012-12-14;0;Садок
Grammatophora marina;Bacil;71.00;0.78;2012-12-14;0;Садок
Licmophora abbreviata;Bacil;14.00;0.01;2012-12-14;0;Садок
Navicula transitans var. derasa;Bacil;271.00;0.41;2012-12-14;0;Садок
Navicula directa;Bacil;14.00;0.03;2012-12-14;0;Садок
Nitzschia sp.;Bacil;14.00;0.04;2012-12-14;0;Садок
Odontella aurita;Bacil;143.00;3.51;2012-12-14;0;Садок
Pseudo–nitzschia pungens;Bacil;43.00;0.64;2012-12-14;0;Садок
Pleurosigma formosum;Bacil;14.00;0.86;2012-12-14;0;Садок
Thalassionema frauenfeldii;Bacil;214.00;2.18;2012-12-14;0;Садок
Thalassionema nitzschioides;Bacil;271.00;1.21;2012-12-14;0;Садок
Thalassiosira nordenskioeldii;Bacil;24914.00;1056.12;2012-12-14;0;Садок
Cryptomonas sp.;Cryp;57.00;0.01;2012-12-14;0;Садок
Gyrodinium fusiforme;Dino;71.00;1.91;2012-12-14;0;Садок
Gyrodinium spirale;Dino;86.00;9.50;2012-12-14;0;Садок
Protoperidinium pellucidum;Dino;14.00;0.13;2012-12-14;0;Садок
Protoperidinium pyriforme;Dino;14.00;0.54;2012-12-14;0;Садок
Eutreptia lanowii;Eugle;29.00;0.03;2012-12-14;0;Садок
Dictyocha speculum;Chry;21.00;0.07;2012-12-14;5;Садок
Chaetoceros debilis;Bacil;12686.00;13.83;2012-12-14;5;Садок
Chaetoceros decipiens;Bacil;193.00;1.64;2012-12-14;5;Садок
Diploneis smithii;Bacil;21.00;0.09;2012-12-14;5;Садок
Grammatophora marina;Bacil;171.00;1.87;2012-12-14;5;Садок
Licmophora abbreviata;Bacil;21.00;0.01;2012-12-14;5;Садок
Navicula transitans var. derasa;Bacil;129.00;0.19;2012-12-14;5;Садок
Navicula directa;Bacil;43.00;0.08;2012-12-14;5;Садок
Odontella aurita;Bacil;21.00;0.53;2012-12-14;5;Садок
Pseudo–nitzschia pungens;Bacil;86.00;1.29;2012-12-14;5;Садок
Pleurosigma formosum;Bacil;64.00;3.86;2012-12-14;5;Садок
Guinardia delicatula;Bacil;129.00;0.34;2012-12-14;5;Садок
Thalassionema frauenfeldii;Bacil;600.00;6.10;2012-12-14;5;Садок
Thalassionema nitzschioides;Bacil;407.00;1.81;2012-12-14;5;Садок
Thalassiosira nordenskioeldii;Bacil;35314.00;1496.97;2012-12-14;5;Садок
Cryptomonas sp.;Cryp;129.00;0.03;2012-12-14;5;Садок
Dinophysis acuminata;Dino;21.00;0.79;2012-12-14;5;Садок
Gyrodinium spirale;Dino;129.00;14.25;2012-12-14;5;Садок
Katodinium glaucum;Dino;43.00;0.12;2012-12-14;5;Садок
Oblea rotundata;Dino;21.00;0.10;2012-12-14;5;Садок
Protoperidinium pyriforme;Dino;21.00;0.80;2012-12-14;5;Садок
Chaetoceros debilis;Bacil;18514.00;20.18;2012-12-31;0;Садок
Chaetoceros mitra;Bacil;43.00;0.37;2012-12-31;0;Садок
Coscinodiscus sp.;Bacil;21.00;2.68;2012-12-31;0;Садок
Grammatophora marina;Bacil;214.00;2.34;2012-12-31;0;Садок
Licmophora abbreviata;Bacil;64.00;0.04;2012-12-31;0;Садок
Navicula transitans var. derasa;Bacil;300.00;0.45;2012-12-31;0;Садок
Melosira nummuloides;Bacil;43.00;0.61;2012-12-31;0;Садок
Navicula directa;Bacil;43.00;0.08;2012-12-31;0;Садок
Navicula sp.;Bacil;64.00;0.12;2012-12-31;0;Садок
Odontella aurita;Bacil;21.00;0.53;2012-12-31;0;Садок
Pseudo–nitzschia pungens;Bacil;236.00;3.54;2012-12-31;0;Садок
Thalassionema frauenfeldii;Bacil;364.00;3.71;2012-12-31;0;Садок
Thalassionema nitzschioides;Bacil;471.00;2.10;2012-12-31;0;Садок
Thalassiosira nordenskioeldii;Bacil;33600.00;1424.30;2012-12-31;0;Садок
Cryptomonas sp.;Cryp;64.00;0.02;2012-12-31;0;Садок
Gyrodinium spirale;Dino;21.00;2.38;2012-12-31;0;Садок
