Date,Station,t,S,pH,SS,COD_nf,DIN_uM,Si_uM,DIP_uM,DOP_uM
2013-02-01,Садок,-1.5,33.78,,0.73,0.64,0.02,2.93,0.116,0.19
2013-02-12,Садок,-1.5,33.62,,0.86,0.88,0.02,0.82,0.135,0.17
2013-02-26,Садок,-1.5,33.78,,3.27,0.56,2.21,2.57,0.116,0.09
2013-03-12,Садок,-1.5,32.47,,1.86,1.68,1.57,2.07,0.077,0.39
2013-03-26,Садок,-1.5,13.84,,20,7.04,11.1,57.1,0.09,1.95
2013-04-09,Садок,0.1,32.88,,1.32,0.96,0.89,0.93,0.019,0.37
2013-04-23,Садок,3.2,33.82,,0.86,0.72,0.09,0.5,0.019,0.2
2013-05-07,Садок,5.4,31.42,,2.14,0.96,0.17,2,0.019,0.21
2013-05-21,Садок,7.2,31.98,,0.86,0.96,0.34,1.07,0.019,0.23
2013-06-04,Садок,9,32.16,,0.64,0.64,0.02,1.86,0,0.45
2013-06-18,Садок,12.1,26.62,,1.32,1.36,0.01,0.61,0,0.11
2013-07-02,Садок,15,33.01,7.86,0.86,0.4,1,1.04,0.182,0.14
2013-07-16,Садок,18.6,32.71,7.89,1.14,0.8,0.13,4.29,0,0.22
2013-08-06,Садок,20.4,27.73,7.99,2.36,1.68,0.03,8.21,0,0.17
2013-08-20,Садок,21.5,25.65,8.08,2.36,2.32,0.02,31.43,0,0.31
2013-09-03,Садок,21.5,31.25,8.08,1.36,1.04,0.03,8.93,0,0.17
2013-09-17,Садок,17.6,30.93,8.1,1.41,1.12,0.64,3.21,0.135,0.17
2013-10-02,Садок,12.6,32.02,8.03,1.27,0.64,0.13,6.79,0.058,0.27
2013-10-18,Садок,9.3,32.32,7.96,0.59,0.64,0.28,11.07,0.258,0.53
2013-10-29,Садок,7.5,32.76,7.96,1.18,0.72,0.38,8.21,0.194,0.35
2013-11-13,Садок,5.6,32.8,7.89,1.32,0.64,0.24,8.93,0.203,0.24
2013-11-27,Садок,1.5,33.14,7.82,1.32,0.72,1.79,10.71,0.442,0.22
2013-12-12,Садок,-1.5,33.85,7.85,0.77,0.88,0.51,11.43,0.248,0.19
2014-01-14,Садок,-1.5,33.46,7.96,0.5,0.56,3.13,11.43,0.39,0.17
2014-01-28,Садок,-1.5,33.75,8,0.41,0.56,3.39,9.64,0.72,0.26
2014-02-12,Садок,-1.5,34.86,8.14,0.82,1.12,0.03,7.32,0.07,0.19
2014-02-25,Садок,-1.5,34.65,8.12,1.04,0.88,0.02,5.07,0.38,0.43
2014-03-11,Садок,-1.5,34.41,8.05,2.04,1.28,0.51,0.86,0.3,0.79
2014-03-25,Садок,-1.5,15.4,8.65,1.14,1.28,0.22,0.93,0.39,0.19
2014-04-08,Садок,0.2,33.08,8.24,0.73,0.96,0.81,3.21,0.01,0.16
2014-04-22,Садок,3.5,32.89,8.27,0.41,0.72,4.31,1.93,0.29,0.18
2014-05-06,Садок,5,32.94,7.68,1,0.64,0.71,2,0.11,0.19
2014-05-21,Садок,9,32.75,8.02,0.64,0.64,0.99,4.07,0.15,0.2
2014-06-03,Садок,17,30.68,8.18,0.64,1.44,1.9,9.68,0.02,0.18
2014-06-17,Садок,17.1,32.44,7.9,1.68,0.8,1.52,9.04,0.57,0.21
2014-07-02,Садок,18,31,7.98,0.73,1.12,2.5,1.5,0.23,0.09
2014-07-17,Садок,18.5,30.9,8.02,1.32,1.12,0.27,0.68,0.02,0.27
2014-07-30,Садок,19,30.26,8.13,1.27,1.2,0,10.18,0.04,0.22
2014-08-13,Садок,22.1,31.21,8.12,2.5,1.44,2.1,18.64,0.15,0.23
2014-08-27,Садок,20,32.4,8.19,1.59,0.96,4.51,7.11,0.28,0.23
2014-09-09,Садок,20.7,32.56,8.09,0.86,0.8,1.43,14.64,0.35,0.32
2014-09-24,Садок,18.8,32.77,8.32,1.23,0.88,3.66,12.86,0.38,0.16
2014-10-07,Садок,15,32.69,8.24,0.86,1.12,0.01,15.71,0.28,0.14
2014-10-23,Садок,12.2,33.28,8.14,0.91,1.12,0.6,11.43,0.19,0.23
2014-11-06,Садок,8.7,33.25,8.22,0.95,1.44,0.85,8.86,0.26,0.24
2014-11-18,Садок,4.9,33.5,8.3,0.73,0.64,0.09,4.46,0.11,0.23
2014-12-03,Садок,2.2,33.65,8.2,,0.56,3.08,9.61,0.38,0.19
2014-12-17,Садок,-1,34.06,8.01,,0.32,7.12,16.36,0.6,0.27
2015-01-27,Садок,-1.5,34.02,8.36,,0.48,3.3,12.5,0.47,0.13
2015-02-10,Садок,-1.5,34.23,8.15,,0.48,3.77,10.71,0.71,0.12
2015-02-24,Садок,-1.5,34.03,7.98,,0.56,0.18,5.82,0.11,0.14
2015-03-13,Садок,0,34.24,8.44,,0.64,0.27,1.89,0.49,0.2
2015-03-26,Садок,0.5,33.74,8.11,,0.72,0.07,1,0.02,0.15
2015-04-07,Садок,1,32.68,7.62,,0.64,0.45,5.21,0.03,0.26
2015-04-21,Садок,1.9,30.58,7.55,,1.2,2.37,7.75,0,0.17
2015-05-07,Садок,4.7,31.73,7.58,,0.88,0.02,2.21,0.01,0.19
2015-05-21,Садок,8.6,30.5,7.55,,1.12,0.36,2.93,0.08,0.13
2015-06-02,Садок,11.9,32.12,7.41,,0.88,0.13,3.21,0,0.19
2015-06-30,Садок,13.5,30.84,7.44,,0.96,0.02,2.18,0,0.11
2015-07-14,Садок,18,30.97,7.54,,1.12,0.36,4.82,0,0.23
2015-08-25,Садок,21,30.3,7.86,,1.2,1.25,18.82,0.25,0.27
2015-09-08,Садок,20.6,27.16,7.86,,1.92,0.02,41.79,0.03,0.23
